Use Case ID,Agency,Component,Use Case Name,Summary of Use Case,Is the Use Case Currently Active?,Stage of System Development Life Cycle,Use Case Topic Area,Use Case Topic Area (If Other),Is the use case using Face Recognition / Face Capture Technology?,Is the AI use case found on the list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Is the Use Case Rights-Impacting?,Presumed Rights-Impacting Category,Is the Use Case Safety-Impacting?,Presumed Safety-Impacting Category,Provide the CAIO Determination Justification if the Use Case does not satisfy the definition of a Safety or Rights Impacting Use Case.,Date Initiated,Date when Development and/or Acquisition began,Date Deployed into Operations,Retired Date,Was the AI system involved in this use case developed (or is it to be developed) under contract(s) or in-house?,Provide the Procurement Instrument Identifier(s) (PIID) of the contract(s) used.,Is this AI use case supporting a High-Impact Service Provider (HISP) public-facing service?,Which HISP is the AI use case supporting?,Which public-facing service is the AI use case supporting?,Does this AI use case disseminate information to the public?,"How is the agency ensuring compliance with Information Quality Act guidelines, if applicable?",Does this AI use case involve personally identifiable information (PII) that is maintained by the agency?,Has the Senior Agency Official for Privacy (SAOP) assessed the privacy risks associated with this AI use case?,Do you have access to an enterprise data catalog or agency-wide data repository that enables you to identify whether or not the necessary datasets exist and are ready to develop your use case?,"If Other, please explain.","Describe any agency-owned data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.",Is there available documentation for the model training and evaluation data that demonstrates the degree to which it is appropriate to be used in analysis or for making predictions?,"Which, if any, demographic variables does the AI use case explicitly use as model features?","If Other, Please Explain",Does this project include custom-developed code?,Does the agency have access to the code associated with the AI use case?,"If the code is open-source, provide the link for the publicly available source code.",Does this AI use case have an associated Authority to Operate (ATO) for an AI system?,ATO System Name,How long have you waited for the necessary developer tools to implement the AI use case? ,"For this AI use case, is the required IT infrastructure provisioned via a centralized intake form or process inside the agency?","If Other, please explain.",Do you have a process in place to request access to computing resources for model training and development of the AI involved in this use case?,"If Other, please explain.",Has communication regarding the provisioning of your requested resources been timely?,"If Other, please explain.","How are existing data science tools, libraries, data products, and internally-developed AI infrastructure being re-used for the current AI use case?","Has information regarding the AI use case, including performance metrics and intended use of the model, been made available for review and feedback within the agency?",Has your agency requested an extension to implement the minimum risk management practices for this AI use case?,Has an AI impact assessment been conducted for this AI use case?,Has the AI use case been tested in operational or real-world environments to understand the performance and impact it may have on affected individuals or communities?,What are the key risks from using the AI for this particular use case and how were they identified?,Has an independent evaluation of the AI use case been conducted?,Is there a process to monitor performance of the AI system’s functionality and changes to its impact on rights or safety as part of the post-deployment plan for the AI use case?,"For this particular use case, can the AI carry out a decision or action without direct human involvement that could result in a significant impact on rights or safety?","If Other, please explain.",How is the agency providing reasonable and timely notice regarding the use of AI when people interact with an AI-enabled service as a result of this AI use case?,"If Other, please explain.",Is the AI used to significantly influence or inform decisions or actions that could have an adverse or negative impact on specific individuals or groups?,What steps has the agency taken to detect and mitigate significant disparities in the model’s performance across demographic groups for this AI use case?,What steps has the agency taken to consult and incorporate feedback from groups affected by this AI use case?,"If Other, Please Explain.",Is there an established fallback and escalation process for this AI use case in the event that an impacted individual or group would like to appeal or contest the AI system’s outcome?,Is there an established fallback and escalation process for this AI use case in the event that an impacted individual or group would like to appeal or contest the AI system’s outcome?,"If No, please explain.","Where practicable and consistent with applicable law and governmentwide policy, is there an established mechanism for individuals to opt-out from the AI functionality in favor of a human alternative?","If Other, please explain.",Contact Name,Contact Email Address
DHS-2388,DHS,CBP,CBP Translate,"CBP Translate is a mobile and web application designed to assist CBP officers in communicating with travelers who speak diverse languages during inspections at U.S. ports of entry. It supports real-time, multilingual translation for interviews, inspections, and other interactions, improving efficiency and accessibility at ports of entry and during border processes., CBP Translate is used to facilitate clear communication between officers and non-English-speaking individuals during border interactions. The AI enhances efficiency by reducing language barriers, supports diverse languages for greater inclusivity, and ensures accurate communication to minimize misunderstandings during critical procedures. The system provides real-time translations of spoken or written communication, detects individuals' languages for accurate translation, and generates logs of interactions for review. The output is used to support necessary interpretation but sworn statements and official communications for law-enforcement purposes are moved to standard translation services for formal documentation and questioning. ",Active,Operation and Maintenance,Law & Justice,,No,No,"CBP Translate is used to facilitate clear communication between officers and non-English-speaking individuals during border interactions. The AI enhances efficiency by reducing language barriers, supports diverse languages for greater inclusivity, and ensures accurate communication to minimize misunderstandings during critical procedures.
","The system provides real-time translations of spoken or written communication, detects individuals' languages for accurate translation, and generates logs of interactions for review, streamlining processes and ensuring clear communication. This output is used to support necessary interpretation but sworn statements and official communications for law-enforcement purposes are moved to stardard translation services when necessary for formal documenation and questioning. 
",Yes,Translation,No,,Not Required,,,,,,,,,,Yes,"In progress, working as part compliance extension.",Yes,Yes,,,"N/A - The Agency does not own any of the data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",,,Yes,"Yes - agency has access to source code, but it is not public",,Yes,CBP Translate,Less than 6 months,,,Other,Working as part of compliance extension.,,,,,Yes - Agency requested an extension for this use case,Planned or In-Progress,,"Forthcoming. Office of Management and Budget (OMB) approved a compliance extension through November 30, 2025.  ",,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-165,DHS,CBP,Automated Data Annotation,"The Automated Data Annotation system simplifies and enhances data annotation for machine learning by providing tools to efficiently label datasets across various formats, such as images, text, and videos. It supports both manual labeling with an intuitive web interface and automated labeling powered by machine learning to accelerate the process. Human annotation is offered to verify and validate the automated annotations. The intended purpose of the AI is to generate domain specific training data to facilitate model training for specific mission use cases. The expected benefit is increased accuracy and confidence in model development and high-quality, labeled datasets in JavaScript Object Notation (JSON) format ready for machine learning. It also provides metadata, including annotation metrics and quality insights, to ensure accuracy and support model training workflows.",Active,Initiated,Mission-Enabling (internal agency support),,No,No,"The Automated Data Annotation system is used to manage training data, collaborate on internal annotation strategies, and to process vast amounts of raw data for AI/ML applications collected from several CBP missions.The intended purpose of the AI is used to generate domain specific training data to facilitate model training for specific mission use cases. The expected benefit would be increased accuracy and confidence in model development.","High-quality, labeled datasets in JSON format ready for machine learning. It also provides metadata, including annotation metrics and quality insights, to ensure accuracy and support model training workflows.
","No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,,06/13/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-69,DHS,CBP,Commodity Detection Model (Cargo Insights Team),"This project leverages computer vision with object detection and a neural network to analyze X-Ray images and predict the commodity code of detected objects. It analyzes X-Ray images and predicts the commodity code of detected objects, reducing the need for users to manually enter codes for all commodities presented. The model provides a commodity code prediction label with bounding boxes on the image. ",Active,Initiated,Law & Justice,,No,No,This use case is Law Enforcement Sensitive. Some information about this use case is not shared because it would be inconsistent with applicable law and government wide policy. Please review the provided Use Case Summary for information about this Use Case.,This use case is Law Enforcement Sensitive. Some information about this use case is not shared because it would be inconsistent with applicable law and government wide policy. Please review the provided Use Case Summary for information about this Use Case.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-2367,DHS,CBP,Computer Vision for Aerial Detection of Land and Open Water Items of Interest,"Current detection, classification (determining intention and/or threat level of each detection), and tracking of potential, cross-border maritime threats mostly rely on human operators monitoring radar tracks on a screen and scanning the maritime environment with surveillance camera systems.  This capability leverages high fidelity cameras on airborne platforms along with computer vision machine learning (CV/ML) models to automate the detection, classification, and tracking of potential cross-border maritime threats. This capability will automate cross-border maritime threat detection, classification and tracking by providing alerts and tracks of detected/classified maritime threats to system operators, enabling more efficient maritime border security surveillance. ",Active,Initiated,Law & Justice,,No,No,"This capability will automate cross-border maritime threat detection, classification and tracking, enabling more efficient maritime border security surveillance.   ",This capabilty will provide alerts and tracks of detected/classified maritime threats to system operators on a workstation user interface.,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,,01/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-310,DHS,CBP,Customs Broker License Exam - Proctor Support,"CBP uses AI technology during the remote Customs Broker License Exam (CBLE) to alert exam proctors to activities that may need review (i.e., alerting the proctor when a candidate leaves or when a second person is present). The output of the AI is a box that highlights the examinee’s tile on the proctor’s screen, drawing the proctor’s attention to the examinee’s behavior. Proctors can use the third-party vendor portal to review the alerts.  The examinee’s computer webcam and audio will be used to capture a video and audio recording of the examination by the vendor. After the alert, the proctor reviews the video and audio and determines if there is any potential violation of exam rules. If the proctor determines there is a potential violation, the proctor will create an incident report to describe the concern. Upon request, CBP will have access to the third-party vendor’s audio and video files to review along with any incident report.    ",Active,Operation and Maintenance,Education & Workforce,,No,No,"The model supports remote proctoring of the exam and ensure the integrity of the testing process, by ensuring the exam is conducted under secure conditions, preventing cheating or fraud, while also verifying the identity of exam takers to confirm they meet the necessary requirements.
","Integrity reports, identity confirmation, proctoring complicance feedback, and test results. 

",No,Federal Benefits,No,,"The AI system in this use case doesn’t rely on biometrics of any kind and alerts the proctor to indications of pre-determined activities that may need review.  fter the alert, the proctor reviews the video and audio and, based on what the proctor reviews, determines if there is any potential violation of exam rules.",10/01/2022,10/02/2022,03/31/2023,,Developed with contracting resources,N/A - Aligned with the Proctoring contract.,No,,,No,,Yes,Yes,No,,"N/A - The Agency does not own any of the data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",None,,No,No - agency does not have access to source code,,No,,Less than 6 months,No,,No,,Other,N/A,None,No documentation is available,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-399,DHS,CBP,Cyber Threat Analysis (Recorded Future),"Recorded Future data query enables CBP Cyber Threat Intelligence (CTI) analysts to focus on investigating recently observed relevant cyber threat activity rather than manually identifying, formatting, and searching for such information in multiple locations. Enables these analysts to quickly view known cyber threat activity targeting known vulnerabilities, which will reduce the time to identify risks to the vulnerabilities that exist in CBP’s information technology environment. AI/ML is employed several ways on this platform: For representation of structured knowledge of the world, using ontologies and events; for transforming unstructured text into a language-independent, structured representation, using natural language processing; for classifying events and entities, primarily to help decide if they are important enough to require a human analyst to perform a deeper investigation; to forecast events and entity properties by building predictive models from historic data. This service can also provide cyber risk scorecards for third party vendors, companies, and organizations. ",Active,Operation and Maintenance,Law & Justice,,No,No,"Cyber Threat Analysis quickly populates query results when searching against adversary tactics, techniques, and procedures, establishing a threat scorecard. This service can also provide cyber risk scorecards for third party vendors, companies, and organizations.",Actionable intelligence supporting Security Operations Center (SOC) and Cyber Risk Management (CRM) investigations and reports.,No,,No,,,04/01/2020,04/01/2020,,,,,No,,,No,,No,,No,,"N/A - The Agency does not own any of the data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.",,,,No,No - agency does not have access to source code,,No,,,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-2446,DHS,CBP,Cyber Threat Detection,"Cyber Threat Detection is a cyber platform that enables CBP to detect, engage, and respond to malicious activity across hybrid cloud deployments, protecting both IT and networks. It uses generative AI (GenAI) to create decoys, lures, baits, and breadcrumbs, to detect threats and allows for more proactive threat identification and associated mitigation. The technology will establish a decoy file sharing capability such as SharePoint, Shared Drive, etc. with tailored decoy products or reports and monitor and alert on the access and interactions with the decoys. The technology enables the accurate detection of malicious activity in the cyber environment for actionable insights so that leadership can identify threats and efficiently mitigate them while reducing the cost of other security defenses. With the technology, the user will be alerted of detected compromise, evaluation of the creation of decoys, and the monitoring/analysis of interaction with the decoys from the adversary.  ",Active,Initiated,Mission-Enabling (internal agency support),,No,No,"The technology will provide premise and/or behind the firewall deployments to support all cloud environments. The technology will establish a decoy file sharing capability such as SharePoint, Shared Drive, etc. with tailored decoy products or reports and monitor and alert on the access and interactions with the decoys.
","The technology enables the accurate detection of malicious activity in the cyber environment for actionable insights so that leadership can identify threats and efficiently mitigate them while reducing the cost of other security defenses. With the technology, the user will be alerted of detected compromise, evaluation of the creation of decoys, and the monitoring/analysis of interaction with the decoys from the adversary.
","No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,,03/29/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-32,DHS,CBP,Data and Entity Resolution,Product uses ML modeling to ingest multiple data sources and evolve models that associate disparate records to identify probable entities and/or identify commonalities between multiple independently submitted records. The automation of entity resolution within the models is supported by a tool that enables non-technical end users to continuously train models through a user-friendly interface.,Inactive (no longer used),Disposal/Retired,Mission-Enabling (internal agency support),,,No,Entity resolution for ES multiple independent valid requirements that may be similar or able to be consolidated.,"""Uses machine learning and human input to leverage all data attributes to resolve entities, rather than traditional brute force rules
Automates process of unifying data sources and resolving entities at enterprise speed""",,,,,,10/01/2021,04/01/2022,10/01/2019,11/30/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-68,DHS,CBP,Empty Container Detection Model (Cargo Insights Team),"CBP's Empty Container Detection Model uses machine learning to identify and track empty containers in cargo shipments. By analyzing shipping data and container movements, the model helps detect potential discrepancies, such as empty containers being incorrectly labeled as full, improving the accuracy and efficiency of cargo management and inspections. This enhances border security and optimizes resource allocation for inspections. The model is designed to accurately identify and track empty containers in cargo shipments, preventing errors and fraud in cargo declarations. The AI improves accuracy, enhances efficiency by prioritizing legitimate containers for inspection, and strengthens security by detecting potential smuggling risks. The system applies a prediction label alongside a bounding box on record.  Officers use this information along with all information provided to determine what, if any, further steps are required.",Active,Operation and Maintenance,Law & Justice,,No,No,This use case is Law Enforcement Sensitive. Some information about this use case is not shared because it would be inconsistent with applicable law and government wide policy. Please review the provided Use Case Summary for information about this Use Case.,This use case is Law Enforcement Sensitive. Some information about this use case is not shared because it would be inconsistent with applicable law and government wide policy. Please review the provided Use Case Summary for information about this Use Case.,No,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-24,DHS,CBP,Entity Resolution,"CBP uses Altana to compile a vast amount of public and lawfully obtained private data regarding cross-board trade. These data elements can include bills of lading, manifests, invoices, and open-source information, as well as elements available only through the Altana subscription. Altana assists in researching supply chain information related to various trade enforcement topics areas such as forced labor and anti-dumping/countervailing duty evasion to better assess trade flow and risk associated with cross-border trade. The data elements provide an illustration for both supply chain and the flow of trade. The AI is used in the background to pull together disparate pieces of information from incompatible data sets to illustrate the supply chains. The illustration is used by the analysts to determine high risk areas for trade targeting in the forced labor mission set. ",Active,Operation and Maintenance,Law & Justice,,No,No,Detection research of force labor within supply chain utilizing analytical AI platform.,Detection of potential force labor within supply chain.,No,Law Enforcement,No,Export Control,"This use case assists by consolidating information from disparate data sources. The AI output is compiled information. Without the use of AI, it is likely the user would experience higher degrees of difficulty searching through multitudes of data elements. The illustration is then used by the analysts to determine high risk areas for trade targeting in the forced labor mission set.  No decisions or actions come directly from the information presented by Altana. CBP employees further research the information, including reading the source information, alongside CBP data holdings to continue researching the probable supply chain before making any recommendations or taking any actions.",10/01/2021,10/01/2021,05/01/2023,,Developed with contracting resources,2014-14031000011,No,,,No,,No,Yes,No,,"N/A - The Agency does not own any of the data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.","Documentation is missing or not available: No documentation exists regarding maintenance, composition, quality, or intended use of the training and evaluation data.",None,,No,No - agency does not have access to source code,,No,,6-12 months,Yes,,No,,Yes,,None,Limited documentation for review,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-315,DHS,CBP,ERNIE,"ERNIE is used to analyze Radiation Portal Monitor (RPM) data to enhance the detection of radioactive materials. The system assesses potential threats, improving the accuracy and speed of identifying illicit or hazardous materials, thereby prioritizing high-risk detections, reducing false alarms and ensuring more efficient security and risk management at ports of entry. The model enhances threat detection and prioritizes high-risk targets, improving operational efficiency and national security. The model provides real-time risk assessments and alerts for potential threats detected by the Radiation Portal Monitors. It also provides prioritized recommendations for further screening based on the analysis of radiation data. ",Active,Operation and Maintenance,Law & Justice,,No,No,"The model enhances threat detection and prioritizes high-risk targets, improving operational efficiency and national security.",The model provides real-time risk assessments and alerts for potential threats detected by the Radiation Portal Monitors. It also provides prioritized recommendations for further screening based on the analysis of radiation data.,Yes,Law Enforcement,Yes,,Not Required,10/01/2017,10/01/2017,,,Developed with contracting resources,Developed under CWMD contract.,No,,,No,,No,Yes,Yes,,Numerical data from RPM radiation detectors and ERNIE assessments.,"Documentation has been partially completed: Some documentation exists (detailing the composition and any statistical bias or measurement skew for training and evaluation purposes), but documentation took place within this use case’s development.",None,,Yes,"Yes - agency has access to source code, but it is not public",,Yes,Automated Radiological Data Integration System - Cloud (ARDIS-C),More than 12 months,Yes,,Yes,,Yes,,Use of existing data platforms,Documentation has been developed,No - Agency did not request an extension for this use case,Yes,,This AI system has been tested in operational or real-world environments and risks have been identified and mitigated. Information about risks and mitigations for this use case may be law enforcement sensitive; DHS continues to review details for potential future disclosure in accordance with applicable law and policy.,Yes - by the CAIO,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-186,DHS,CBP,Fivecast ONYX,"Fivecast is a technology platform accessed through an internet-based user interface that provides insight into a variety of social media platforms including, but not limited to, Facebook, Instagram, Telegram, and Twitter.  Fivecast analyzes the strength of connections between social media users and collects both media and activity information from targeted profiles. It also enables the identification of usernames and profiles using individual names, telephone numbers, age, email address, and location.  Fivecast has proven to be one of the most valuable tools in the OSINT technology stack as it enables advanced search, collection, and analysis of publicly available information through a single user interface, facilitating the collection of information regarding people, places, and things across social media platforms, as well as general information held on the surface, deep, and dark web to inform situational awareness. CBP uses Fivecast ONYX to analyze open-source data, including social media and other public platforms, to identify potential threats, monitor illegal activities, and assess risks to national security.  The system enhances CBP's capability to monitor, analyze, and assess threats related to border security by processing vast amounts of open-source data. CBP aims to detect potential risks, monitor emerging trends, and uncover connections between individuals, organizations, or networks involved in illegal activities such as human trafficking, smuggling, or terrorism, thereby streamlining operations and bolstering security measures.  ",Active,Implementation and Assessment,Law & Justice,,No,No,"The system enhances CBP's capability to monitor, analyze, and assess threats related to border security by processing vast amounts of open-source data, CBP aims to detect potential risks, monitor emerging trends, and uncover connections between individuals, organizations, or networks involved in illegal activities such as human trafficking, smuggling, or terrorism. Thereby streamlining operations and bolster security measures while maintaining a proactive approach to emerging threats
","The system  aggregates vast amounts of publicly and commercially available data from diverse sources, such as social media, news streams, company records, and even the dark web, to provide insights on potential threats and risks, that can be used as actionable intelligence reports, risk assessments, and alerts that support CBP personnel  in real-time decision-making and long-term strategic planning. 
",Yes,Law Enforcement,No,,Not Required,08/29/2023,08/29/2023,,,Developed with contracting resources,,No,,,No,,Yes,Yes,No,,"N/A - The Agency does not own any of the data used to train, fine-tune, and/or evaluate performance of the model(s) used in this use case.",,,,Yes,No - agency does not have access to source code,,,,,,,,,,,,,Yes - Agency requested an extension for this use case,Planned or In-Progress,,"Forthcoming. Office of Management and Budget (OMB) approved a compliance extension through November 30, 2025.  ",,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-27,DHS,CBP,Geospatial Imagery Utilizing Annotation,"Leverages a commercial constellation of Synthetic Aperture Radar (SAR) satellites with readily available data, capable of imaging any location on Earth, day, and night, regardless of cloud cover. Utilizes AI, including machine vision, object, detection, object recognition, and annotation to detect airframes, military vehicles, and marine vessels, as well as built-in change detection capabilities for disaster response missions.",Inactive (no longer used),Disposal/Retired,,,,No,"This use case is no longer an Active Use Case. See the ""Summary of Use Case"" section for details.","This use case is no longer an Active Use Case. See the ""Summary of Use Case"" section for details.",,,,,,10/01/2021,01/01/2022,,10/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-94,DHS,CBP,HTS Classifier,"CBP’s HTS Classifier employs AI Natural Language Processing (NLP) and text analytics to analyze product descriptions and predict appropriate Harmonized Tariff Schedule codes. These capabilities align with cargo threat evaluation by integrating unsupervised learning to classify goods efficiently, reducing human error and enhancing compliance. CBP’s HTS Classifier improves trade compliance and enhances cargo risk assessment by streamlining the classification of goods, enabling better integration with machine learning systems, and refining entity risk evaluations. It identifies potential threats linked to specific cargo types and prior violations by categorizing goods based on their descriptions and attributes. These improvements contribute to faster, more accurate classification and risk-based targeting. The HTS Classifier produces outputs that map cargo commodity descriptions to their most probable tariff codes, enhancing classification accuracy. These outputs integrate seamlessly into broader threat-specific risk models, providing features to support predictive risk assessments in cargo security",Active,Operation and Maintenance,Law & Justice,,No,No,"CBP’s HTS Classifier improves trade compliance and enhances cargo risk assessment by streamlining the classification of goods, enabling better integration with machine learning systems, and refining entity risk evaluations. It identifies potential threats linked to specific cargo types and prior violations by categorizing goods based on their descriptions and attributes. These improvements contribute to faster, more accurate classification and risk-based targeting, which strengthens security and facilitates trade.","The HTS Classifier produce outputs that map cargo commodity descriptions to their most probable tariff codes, enhancing classification accuracy. These outputs integrate seamlessly into broader threat-specific risk models, providing features to support predictive risk assessments in cargo security.",No,,No,,,10/01/2020,10/01/2020,10/01/2020,,Developed with contracting resources,,No,,,No,,Yes,Yes,Yes,,"This model leverages data provided by carriers within the Automated Commercial Environment (ACE), as well as transformations of that data within the Automated Targeting System (ATS).","Documentation is complete: Documentation exists regarding the maintenance, composition, quality, and intended use of the training and evaluation data, as well as any statistical bias across model features and protected groups.",None,,Yes,"Yes - agency has access to source code, but it is not public",,Yes,Automated Targeting System (ATS),Less than 6 months,Yes,,Yes,,Yes,,Use of existing data platforms,Documentation has been developed,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-424,DHS,CBP,I4 Viewer Matroid Image Analysis,"Matroid is a software that enables CBP end users to create and share vision detectors. Matroid detectors are trained computer vision models that recognize objects, people, and events in any image and in video streams. Once a detector is trained, it can monitor streaming video in real time, or efficiently search through pre-recorded video data or images to identify objects, people, and events of interest. Users can view detection information via a variety of reports and alert notifications to process and identify important events and trends. Detection data is also available through Matroid’s powerful developer Application Programming Interface and language-specific clients, so CBP applications can be integrated with the power of computer vision. ",Inactive (no longer used),Disposal/Retired,,,,No,"This use case is no longer an Active Use Case. See the ""Summary of Use Case"" section for details.","This use case is no longer an Active Use Case. See the ""Summary of Use Case"" section for details.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-2391,DHS,CBP,Illicit Trade,"CBP leverages an advanced AI and machine learning (AI/ML) model to enhance risk assessment in inbound cargo, focusing on critical areas like Intellectual Property Rights (IPR) violations and compliance with the Uyghur Forced Labor Prevention Act (UFLPA). The tools include text analytics and predictive modeling to assist personnel to identify suspicious shipments and flag potential violations of trade laws for further examination. These efforts help CBP prioritize enforcement actions in maritime cargo, targeting counterfeit goods and forced-labor-related imports through data-driven insights. The model identifies high risk shipments to aid CBP personnel in workload associated with detecting threats, identifying candidate shipments for review and referral for further screening. The model analyzes historical data, examination outcomes, and high-risk attributes to identify shipments likely to involve Intellectual Property Rights (IPR) violations or breaches of the Uyghur Forced Labor Prevention Act (UFLPA).  The model results are sent to the Automated Targeting System for review and assessment by operational personnel, who may conduct additional screening if necessary. ",Active,Operation and Maintenance,Law & Justice,,No,No,This use case is Law Enforcement Sensitive. Some information about this use case is not shared because it would be inconsistent with applicable law and government wide policy. Please review the provided Use Case Summary for information about this Use Case.,This use case is Law Enforcement Sensitive. Some information about this use case is not shared because it would be inconsistent with applicable law and government wide policy. Please review the provided Use Case Summary for information about this Use Case.,Yes,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes,,This AI system has been tested in operational or real-world environments and risks have been identified and mitigated. Information about risks and mitigations for this use case may be law enforcement sensitive; DHS continues to review details for potential future disclosure in accordance with applicable law and policy.,Yes - by the CAIO,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-311,DHS,CBP,Integrated Defense and Security Solutions (IDSS),"CBP employs computed tomography x-ray systems with automated recognition technology for the inline screening of high-volume parcels to detect contraband. The system integrates AI-driven analytics into non-intrusive inspection systems, enhancing screening efficiency and accuracy by identifying anomalies for CBP personnel to review and, if necessary, conduct additional screening. The systems improve the screening efficiency and accuracy of contraband detection in international express consignment and mail inspection. The system provides a segmented image, highlighting anomalies for further inspection by CBP personnel. ",Active,Initiated,Law & Justice,,No,No,"The systems improves the screening efficiency and accuracy of contraband detection in international express consignment and mail inspection.
","The system provides a segmented image, highlighting anamolies for further inspection by CBP personnel.","No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,"No, use case is too new to fully assess impacts; will be reassessed before end of initiation stage.",,,01/01/2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
DHS-29,DHS,CBP,Integrated Digital Environment,"The Integrated Digital Environment provides managers with a better understanding of end user workflows, most and least used applications, and opportunities for improvement. The AI/ML model applies to end user activity data (e.g., use of applications, flow between applications) to help CBP identify opportunities for more efficient or effective configuration of interfaces, use of resources, or development and deployment of CBP’s applications. It tailors analytics and insight generation to allow metrics gathering, usage recording/observation, dashboarding, and workflow experimentations/suggestions to support analysts utilizing the entire suite of agency and open-source data systems. It also customizes existing capabilities to allow the exact automations needed for agency applications and systems, creating an integrated digital environment for greater connectivity and security between applications, and better ability for CBP administrators to manage and optimize use of applications by end users. ",Inactive (no longer used),Disposal/Retired,,,,No,"This use case is no longer an Active Use Case. See the ""Summary of Use Case"" section for details.","This use case is no longer an Active Use Case. See the ""Summary of Use Case"" section for details.",,,,,,10/01/2021,04/01/2022,,10/01/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DHS AI,ai@hq.dhs.gov
