Use Case ID,Use Case Name,Agency,Component,Use Case Topic Area,Other (Use Case Topic Area),Is the AI use case found in the below list of general commercial AI products and services?,What is the intended purpose and expected benefits of the AI?,Describe the AI system’s outputs.,Stage of Development,"Is the AI use case rights-impacting, safety-impacting, both, or neither?"
VA-503,ScienceLogic Artificial Intelligence Operations (AIOPS) Software Subscriptions with Maintenance and Professional Support Services.,VA,OIT: Office of Information & Technology,Other,Cloud,None of the Above,Performance monitor of cloud applications ,"The SL1 AIOps solution enables VA to  diagnose reasons for outages and rapid capability to respond, resolve and prevent such  outages across the full domain.",Operation and Maintenance,Neither
VA-540,ECG/EKG Machines- Interpretation of Results,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,This software aids with interpretation of  clinical Electrocardiogram tracings for VA clinicians. ,"The system integrates w/ CPRS and outputs patient demographics on the ECG print-out.  It then prints a list of notable findings from the ECG on the form that is later reviewed and confirmed or overturned by a licensed provider.   In many cases, the machine interpretation is correct and is confirmed by the provider.",Operation and Maintenance,Both
VA-544,Appointment Comments Categorization,VA,OIT: Office of Information & Technology,Health & Medical,,None of the Above,To deliver additional timely options for patients that are having mental or physical issues during appointment signup.,"Right now, I'm focusing on alerting around mental health, so the model will return, ""Timely_Alert_Needed, 0.xxxxx""",Acquisition and/or Development,Safety-impacting
VA-659,TeraRecon,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf22/K220349.pdf).,Operation and Maintenance,Both
VA-708,Ambient AI scribe,VA,VHA: Veterans Health Administration,Health & Medical,,Transcribing and summarizing a recorded meeting or interview using AI.,"Human scribes have been effective toward decreasing clinical documentation burden, increasing physician satisfaction, and decreasing physician time spent in the EHR during patient visits. However, notes written by humans are variable in quality. In addition, scribes are costly, requiring time to train and have high turnover. Ambient AI medical scribes and solutions to automate document processing show promising as potential solutions to reduce physician burnout. VA recently completed an AI Tech Sprint in this space and intends to pilot several of these solutions at VA Medical Centers. ",The system produces written summaries of clinical encounters,Initiated,Both
VA-790,Pension Optimization Initiative (POI),VA,VBA: Veterans Benefits Administration,Government Services (includes Benefits and Service Delivery),,None of the Above,"VBA’s POI is a transformative effort that seeks a Managed Services Provider (MSP) to convert an existing manual business process into automated processing of Pension and Survivor claims. The goal is to have 75% of claims completed by automation with claims processing quality that is equivalent to, or greater than, existing manual processes. ","The following is high-level scenarios describe the inputs --->automated processes--->outputs:  Scenario A:  Claimant submits application for benefits via handwritten, typed, or VA.gov submission  --->  POI automation extracts data from forms and other documents submitted with application  --->  extracted data and existing Veteran/Beneficiary file data is processed in accordance with business rules to determine outcome of claim  --->  outputs are:  -updated Veteran/Beneficiary files, -completed Pension-related claim actions to include stop and start of awards (delivery of benefits), and -Notification Letters to Claimants.  Scenario B:  same as above, except, claim is established via computer matching agreement with other Government agencies (e.g. Social Security Administration) or other VBA-internal process rather than actually receiving an application from a claimant.",Operation and Maintenance,Rights-impacting
VA-913,Limited Use of Azure Speech Services in PETALS Platform,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"We have specific and limited use of Azure Speech Services in PETALS Platform, where Azure Speech Services will read either (a) a participant first name or (b) a numerical step count, and then read-aloud that content to validate the user and information input provided by user during program engagement. ",Audio verbalization (speak-aloud during telephone engagement) of a first name and of a numerical step count.,Acquisition and/or Development,Neither
VA-954,Medallia SaaS - VSignals and ESignals,VA,VEO: Veterans Experience Office,Other,Medallia is a customer experience management platform which can leverage AI (NLP) to review survey comments for actioning.,None of the Above,"Medallia is a customer experience management platform which can leverage AI (NLP) to review survey comments for actioning.   VSignal survey comments (from Veterans) are processed by NLP to HELP determine if a Veteran is potentially in risk of crisis (related to homelessness and mental health).   If NLP flags a comment as a potential risk, a case is created and sent to the Crisis Line and Homeless Program for review and actioning.",See above,Operation and Maintenance,Safety-impacting
VA-1069,AGFA Dose Monitor system,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf18/K180589.pdf).,Operation and Maintenance,Both
VA-1114,Volpara Imaging Patient Hub,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf21/K211279.pdf).,Operation and Maintenance,Both
VA-1159,Identity Governance and Administration (IGA),VA,OIT: Office of Information & Technology,Mission-Enabling (internal agency support),,Identifying unusual patterns in system logs from a single incident report using AI.,"The purpose and expected benefits of the AI are to reduce risks within VA workforce regarding access management. For example, the IGA tool will generate risk scores for access requests, allowing automation to approve low risk requests automatically while flagging others that are high-risk, sensitive, or critical for manual review. ","The system will display risk scores on a dashboard, send email notifications about access requests needing to be reviewed, or recommend access certifications/reviews.",Acquisition and/or Development,Neither
VA-1200,VET-HOME Contact Center AI ,VA,OIT: Office of Information & Technology,Health & Medical,,Searching for information using AI.,We're looking to explore the use of AI to give VA customer service agents better situational awareness to a Veteran through the use of AI tools to summarize and contextualize queries received through our contact centers.  ,"We'd like to train custom co-pilots on data used by the contact center CRMs, to be able to proactively pull up information relevant to the conversation and the Veteran's queries.  The output would be a window that would display information relevant to the Veterans needs at that time based on the contact center they are working with.",Initiated,Neither
VA-1237,Beckam Coulter DxH 800,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf12/K120771.pdf).,Operation and Maintenance,Both
VA-1323,UIPath Document Understanding,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,None of the Above,The tool enables Optical Character Recognition and data extraction from submitted documents through AI document processing.  This tool can extract data accurately and efficiently to allow automations to input or use the data for other applications.  ,"UiPath's Document Understanding will provide computerized information from forms and documents (computer generated or handwritten) that can be used by the automation to add information to other applications, or present to assist in decisions by the Agents for Veterans.",Operation and Maintenance,Neither
VA-1360,Potential Fraud or Waste,VA,OM: Office of Management,Mission-Enabling (internal agency support),,None of the Above,"The Purchase Card dashboards are a suite of dashboards that allow various purchase card managers to monitor purchase card spending of employees. The dashboards help monitor for fraud, waste, and abuse, and assist in providing oversight for compliance with purchase card laws and policies. We have now incorporated advanced data analytics within the dashboard. The Advanced data Analytics model generates an expected received date for items. It then flags items that have gone beyond the expected generated date by flagging items that were received late (possible waste) and/or items that have not been received yet (possible fraud). This has the potential to save the analyst time by investigating cases that have been flagged as opposed to investigating potentially an entire dataset, which is what they have been doing up until now. The model analyzes all purchase card transactions including ordered, delivery, and recieved dates as its inputs. It outputs expected recieved dates. The intended users of the product are purhase card managers. ",The Advanced data Analytics model generates an expected received date for items. It then flags items that have gone beyond the expected generated date by flagging items that were received late (possible waste) and/or items that have not been received yet (possible fraud).,Initiated,Neither
VA-1442,Roche Digital Pathology ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,To aid pathologists in diagnosing pathology cases.,It analyzes slide images to aid in diagnosing,Acquisition and/or Development,Both
VA-1475,Activity recognition using wearable sensors for use in closed loop deep brain stimulation systems,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"To accurately recognize/classify a number of different activities of daily living (walking, standing, sitting, lying down, etc.) using accelerometry/gyroscopic data. This could be used in a number of different applications. ",Described above. A classifier that outputs a recognized behavior in real-time based on changes in accelerometry/gyroscopic data.,Acquisition and/or Development,Safety-impacting
VA-1561,VCA & PPMS Chatbot ,VA,VHA: Veterans Health Administration,Mission-Enabling (internal agency support),,Searching for information using AI.,"The Network Support VCA & PPMS ChatBot, a virtual agent designed to assist field staff with questions related to VCA & PPMS. This tool was designed to provide answers to frequently asked questions received from the field.","The VCA and PPMS teams have compiled a wide range of FAQs received from field staff to develop this easy-to-use tool that instantly provides users with the VCA & PPMS resources they need, whenever they might need them.",Operation and Maintenance,Neither
VA-1565,AgileMD eCART Clinical Deterioration Model,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf23/K233253.pdf).,Operation and Maintenance,Both
VA-1647,PINGOO.AI,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Edcuational infomrational app that uses a RAG model to provide up to date and trustrowthy infomration to Veterans who are diabetic. ,Output is infomation that is related to the RAG model communicated to the Veteran through a language model interface.,Acquisition and/or Development,Both
VA-4648,Persyst 14 EEG Review And Analysis Software,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"Persyst EEG Review and Analysis Software provides the complete set of tools needed for C.A.R.E (Computer Assisted Review of EEG), resulting in accurate, efficient and rapid review of EEG data.Link to the vendors website -
https://www.persyst.com/","It uses prespecified but customizable parameters for seizure detection, spike detection, trending of EEG signals, artifact reduction and monitoring. Its a commercial off the shelf product used widely in the field as well as public and private hospitals.
",Operation and Maintenance,Both
VA-1684,Computer Aided Detection (CADe) of Neoplasia during Colonoscopy - “GI Genius”,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,"GI Genius™, a commercial product distributed by Medtronic, Inc., is a computer-aided detection module, powered by artificial intelligence, designed to aid endoscopists in detecting colonic mucosal lesions (such as polyps and adenomas) during colonoscopy. The FDA cleared this commercial product in April 2021.
The device physically connects to existing endoscopes, video processors, and display monitors, but does not connect to the VA network.
During endoscopy, the CADe device automatically detects, and highlights suspected neoplastic lesions / polyps in real time. The module was trained and validated with white-light endoscopy videos and continues to be refined with growing datasets. Information about the indications, safety and warnings can be found here: GI Genius™ Intelligent Endoscopy Module - Indications, Safety, and Warnings | Medtronic (https://www.medtronic.com/covidien/en-us/products/gastrointestinal-artificial-intelligence/gi-genius-intelligent-endoscopy/indications-safety-warnings.html)
Multiple studies and meta-analyses have found these devices increase adenoma detection rates, a well-established metric for colonoscopy quality that is related to colon cancer incidence and death. Initial randomized implementation of the devices across VA facilities allowed for a pragmatic evaluation of the impact of these devices on adenoma detection. The evaluation demonstrated that the provision of colonoscopy CADe devices resulted in a statistically significant 21% increase in the odds of adenoma detection and an absolute increase in ADR of approximately 4% compared to colonoscopy without CADe. These devices will improve ADR, which should decrease colorectal cancer incidence and mortality amongst Veterans over time.
","The device physically connects to existing endoscopes, video processors, and display monitors, but does not connect to the VA network.  During endoscopy, the CADe device automatically detects, and highlights suspected neoplastic lesions / polyps in real time on the display monitor.",Operation and Maintenance,Both
VA-1729,Digizens,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Behavioral prediction model used to create clinical trials without the need for actual patients or patient information. ,Output is behavioral analysis and predictions based on messaging and circumstances.,Acquisition and/or Development,Neither
VA-1766,TrueFidelity CT Deep Learning Image Reconstruction,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Decreases noise in CT images ,,Operation and Maintenance,Both
VA-1770,Pangaea,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Devellop predictive model for chronic disease with treatment recommendations based on current guidelines. ,Output will be identification of chronic disease in Veterans and treatment modalities required prior to consulting specialty services.,Acquisition and/or Development,Both
VA-1803,AIDOC,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf23/K230020.pdf).,Operation and Maintenance,Both
VA-1811,Cogitativo,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,Predict chronic disease,Output is based on Veteran profiles utilizing data model built from previously obtained Veteran profiles by the company Cogitativo. It is unclear how the company obtained the data.,Acquisition and/or Development,Both
VA-1815,"Analytics, Data, and Decision Support Unified Platform (ADDSUP)",VA,"OALC: Office of Acquisitions Logistics, and Construction",Other,Data Analysis,None of the Above,"Using AI enhancements, this tool can quickly filter contracts and line items to facilitate easy searching, as well as provide quick answers to enhance our ability to obtain cost avoidance.  ",The system will output a list of contracts or line items based on search criteria entered by the user.,Operation and Maintenance,Neither
VA-1848,iCAD ProFound AI,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,FDA-cleared medical device to assist clinicians and improve healthcare outcomes.,Described in FDA documentation for this device (https://www.accessdata.fda.gov/cdrh_docs/pdf20/K203822.pdf).,Operation and Maintenance,Both
VA-1897,VA Section 508 Office URL Ownership Prediction Model,VA,OIT: Office of Information & Technology,Mission-Enabling (internal agency support),,None of the Above,"Purpose of the AI system is to predict the administrative agency that owns URLs.  The AI system reduces the level of effort and turnaround time for the OIT 508 Office to curate URLs and coordinate with VA Administrations to review and, as necessary, remediate URLs for accessibility compliance.  In the absence of the AI system both the 508 Office and VA Administrations would be required to undertake a lengthy and iterative process to identify the VA Administration that is the formal owner of a URL.","The AI Model has two outputs.  1) Agency Owner with responses as: VHA, VBA, NCA, VACO, OIT, OCTO, and Unknown.  2) Prediction Score ranging from 0 to 1.  The system is comprised of manually executed scripts using the AI model on local GFE.  Besides the AI model, the scripts additionally apply manually constructed business rules and create prepopulated excel files for each VA Administration to use for quarterly reviews and data entry.",Operation and Maintenance,Neither
VA-1934,Circle CVI42 ,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above,This software is for improving efficiency in post processing and reporting of Cardiac MRI and Cardiac CT images. ,"It replaces manual contouring of different cardiac structures by automated segmentation. Output includes: ejection fraction, strain, stroke volume , coronary calcium score etc. All outputs of the AI based software are FULLY CHECKED  by the cardiologists for accuracy and the outputs can be easily altered by the reading physician  before they are reported in the patients chart.",Operation and Maintenance,Neither
VA-1938,National Cemetery Administration (NCA) Automated Claims Processing,VA,NCA: National Cemetery Administration,Government Services (includes Benefits and Service Delivery),,Inputting large amounts of data from paper forms into a digital system using AI.,"The purpose of the AI is to automate aspects of NCA benefits and application processing.  Currently it is applicable to the Pre-Need and Presidential Memorial Certificate programs. In the future other business lines may be included, such as the Headstones, Markers, Medallions, and Urns and Plaques programs. This benefits NCA by automating aspects of the workload (data entry, case creation, document digitization, letter creation, status updates). ","The Hyperscience platform (optical character recognition (OCR), natural language processing (NLP), and machine learning (ML)) extracts document data, uses application programming interfaces (APIs) to query data from other VA systems, and applies robotic process automation (RPA) to enter data into existing legacy NCA systems: Eligibility Office Automation System and Web Presidential Memorial Certificates.  As the case is processed, automation creates documents that combine relevant claimant information for use by claim agents, updates statuses, and creates letters as appropriate. No original content is created through these processes.",Operation and Maintenance,Rights-impacting
VA-2008,VA CART Adenoma Detection NLP,VA,VHA: Veterans Health Administration,Health & Medical,,None of the Above, Extracts adenoma status for CART Veterans using Natural Language Processing (NLP) of VistA colonoscopy surgical pathology reports,Results contain 0 for no evidence of adenoma or 1 for evidence of adenoma in the pathology report,Operation and Maintenance,Neither
VA-2143,Call Center Knowledge Navigator,VA,VBA: Veterans Benefits Administration,Mission-Enabling (internal agency support),,None of the Above,"Using VA-provided procedural reference material, the tool will respond to call center agent questions with an answer and a cited reference to verify the answer. The tool is intended to speed responses by quickly identifying relevant references and summarizing procedures in the form of an answer, while also providing the agent with the means to look up the referenced material.",The system will output a generated response to a user's question.,Implementation and Assessment,Neither
VA-2184,National Training Team | Schools — FAQ Dashboard,VA,VBA: Veterans Benefits Administration,Mission-Enabling (internal agency support),,None of the Above,"The 1.0 dashboard clusters thousands of submitted questions during a monthly Office Hours session with School Certifying Officials and presents a ""top ten"" list of associated categories that have the most questions.",Classification and sentiment score,Implementation and Assessment,Neither
VA-2266,National Training Team | Schools — FAQ Dashboard,VA,VBA: Veterans Benefits Administration,Mission-Enabling (internal agency support),,None of the Above,"The model should classify thousands of questions into categories, generate a sample question based on the category, and provide a suggested answer based on previous responses to similar questions.","Classification, list of questions, answers to questions",Acquisition and/or Development,Neither
VA-2307,Audit of Service Connection Designations Associated with Prescriptions,VA,VHA: Veterans Health Administration,Government Services (includes Benefits and Service Delivery),,None of the Above,"Reduction in waste, fraud and abuse. ",Binary,Acquisition and/or Development,Neither
