n_clusters,cluster_k,cluster_x,cluster_y,cluster_size,label_text,label_score
16,2,2.2695918,-0.2933549,70,dose monitor,0.5282
16,3,0.062725976,-0.96836907,56,user assistant,0.5779
16,4,-0.4812449,-0.10168451,70,reporting system,0.4511
16,5,1.3647091,-0.23393664,37,captioning system,0.4963
16,6,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
16,7,0.14414161,1.1290377,26,business intelligence,0.5306
16,8,-0.6062533,1.7593523,83,weapons detection,0.5241
16,9,0.16332674,-0.45107016,71,bankruptcy bot,0.5418
16,10,-0.75127864,-0.7365733,44,review program,0.5203
16,11,1.5668269,-1.782476,6,coronary intervention,0.4236
16,12,-0.238639,0.6185898,41,emergency inventory,0.5217
16,13,-1.1252416,0.24640743,36,hiv data,0.505
16,14,-1.1248181,-0.3572037,28,cdc publications,0.4709
16,15,0.004367045,-1.6542262,41,assistance chatbot,0.6215
17,0,0.1122359,-0.32775176,61,business intelligence,0.455
17,1,2.2695918,-0.2933549,70,dose monitor,0.5282
17,2,-0.54514694,1.5067589,30,advanced analytics,0.5069
17,3,-1.1517305,-0.14922713,53,literature retrieval,0.463
17,4,0.004367045,-1.6542262,41,assistance chatbot,0.6215
17,5,-0.7111215,-0.6993033,51,automated suggestions,0.4964
17,6,1.3647091,-0.23393664,37,captioning system,0.4963
17,7,-0.21912774,0.59146273,42,emergency inventory,0.5217
17,8,-0.48350042,-0.059175238,61,entity recognition,0.4188
17,9,-1.1703634,0.95501804,59,refugee resettlement,0.5185
17,10,-1.0066637,1.7841606,34,cbp biometric,0.6148
17,11,0.11522307,-0.8982018,74,user assistant,0.5779
17,12,-0.21764497,1.877468,27,weapons detection,0.5241
17,13,0.50893927,0.1594292,41,risk assessment,0.4117
17,14,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
17,15,1.5668269,-1.782476,6,coronary intervention,0.4236
17,16,0.20077069,1.1259199,23,cybersecurity threat,0.5202
18,0,0.66395897,0.079676114,35,risk assessment,0.4117
18,1,-0.062223125,0.96632355,48,emergency inventory,0.4646
18,2,0.20985775,-1.0566761,34,report generation,0.5177
18,3,2.0617468,-0.01138081,18,ecg system,0.5544
18,4,-0.9409129,1.7864408,37,cbp biometric,0.4459
18,5,-0.25793308,-0.75269043,42,user assistant,0.5618
18,6,-1.1119844,0.16360112,46,hiv data,0.505
18,7,-0.5209537,-0.15245356,67,reporting system,0.4511
18,8,0.004367045,-1.6542262,41,assistance chatbot,0.6215
18,9,-0.98234046,-0.64407164,46,literature screening,0.4328
18,10,-1.2145989,1.0746878,51,refugee resettlement,0.5185
18,11,2.341538,-0.39096132,52,dose monitor,0.5073
18,12,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
18,13,-0.35428992,1.7347213,47,weapons detection,0.5241
18,14,1.5668269,-1.782476,6,coronary intervention,0.4236
18,15,0.27639526,-0.5348215,49,bankruptcy bot,0.5344
18,16,-0.026474731,0.16956991,59,business intelligence,0.4892
18,17,1.4360726,-0.23988569,32,captioning system,0.4963
19,0,-1.1853597,0.9889941,55,refugee resettlement,0.5185
19,1,0.6552264,-0.012826689,42,risk assessment,0.4117
19,2,-0.19914766,-0.8349724,42,user assistant,0.5618
19,3,2.29364,-0.32559285,65,dose monitor,0.5282
19,4,0.14414161,1.1290377,26,business intelligence,0.5306
19,5,-0.2733855,-0.39337388,44,review system,0.4417
19,6,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
19,7,-0.94732946,1.7528121,42,cbp biometric,0.4793
19,8,-1.0825499,-0.40356913,24,cdc authored,0.5081
19,9,-0.2517576,0.64565665,38,emergency inventory,0.5217
19,10,0.004367045,-1.6542262,41,assistance chatbot,0.6215
19,11,1.5064639,-0.19047707,37,captioning system,0.4963
19,12,1.5668269,-1.782476,6,coronary intervention,0.4236
19,13,-0.34063193,1.7415538,45,weapons detection,0.5241
19,14,0.28693157,-0.8864893,50,bankruptcy bot,0.5865
19,15,-1.1668403,0.103546,34,hiv data,0.505
19,16,-0.5637311,0.03867837,40,activity sewerscout,0.4796
19,17,0.08131468,-0.0071894117,48,random forests,0.4771
19,18,-0.87614363,-0.72629976,31,review program,0.4921
20,0,-1.2842219,1.166893,34,biometric monitoring,0.5112
20,1,0.50645125,0.0858848,47,helps grant,0.448
20,2,-0.8589163,-0.71175456,33,review program,0.4921
20,3,2.337303,-0.3883391,53,dose monitor,0.5073
20,4,0.17662127,-1.0427412,38,report generation,0.5062
20,5,-0.14131378,0.32900724,48,entity extraction,0.5072
20,6,0.19020665,-3.2026968,9,medwatch dashboard,0.5395
20,7,-0.86286014,1.7153527,48,commodity detection,0.4416
20,8,-1.1843191,0.029930586,33,hiv data,0.505
20,9,1.4072644,-0.23616365,34,captioning system,0.4963
20,10,0.002656488,1.0450083,39,inventory management,0.4511
20,11,-0.59506416,-0.029241953,47,activity sewerscout,0.4796
20,12,-0.21779928,-0.5573503,77,documentation generation,0.5014
20,13,1.5668269,-1.782476,6,coronary intervention,0.4236
20,14,0.004367045,-1.6542262,41,assistance chatbot,0.6215
20,15,-1.0370986,0.7510546,28,refugee resettlement,0.5185
20,16,0.37453952,-0.53564864,35,bankruptcy bot,0.5479
20,17,-0.27911434,1.8137021,36,weapons detection,0.5241
20,18,2.058492,0.0027723422,17,ecg system,0.5544
20,19,-1.163841,-0.4905572,16,literature retrieval,0.5323
