2_use_case_name,summary_text
Thermal Power Generation with Geoseismic IoI Detection and Classification,"The project involves using seismic sensor data to detect and classify Items of Interest (IOIs) in deployed locations, enhancing situational awareness in challenging environments. The sensors operate on self-charging technology, minimizing the need for battery replacements, and provide alerts indicating the presence of an IOI along with a confidence interval for accurate classification of detected seismic activity."
Underwater ROV,"The Underwater ROV project aims to enhance maritime security by enabling users to swiftly identify potential threats and contraband on ship hulls without the need for a dive team. Through an AI system, it delivers informed assessments regarding the presence of threats or contraband, thereby streamlining investigations."
Wellness and Physical Fitness Application ,"The Wellness and Physical Fitness Application is an AI-powered personal workout coach designed for Customs and Border Patrol staff. It enhances user awareness of physical health through personalized fitness assessments, real-time monitoring, and program adjustments, while also providing metrics and trend analyses to promote health and wellness awareness. This initiative aims to reduce human capital costs by addressing physical fitness needs effectively."
API Security Vulnerability Technology,"The API Security Vulnerability Technology is designed to continuously run custom attack scenarios against APIs to identify security vulnerabilities before production deployment. This AI system provides real-time monitoring and alerts for new vulnerabilities, as well as detailed reports that include risk assessments and tailored remediation guidance specific to the applications and environments tested."
Cyber Threat Detection,"The Cyber Threat Detection technology utilizes decoy file-sharing capabilities to monitor and alert users on unauthorized access and interactions with these decoys across various cloud environments. By accurately detecting malicious activities, it provides actionable insights that assist leadership in identifying and mitigating threats efficiently, while also reducing the cost of traditional security defenses. Users receive alerts regarding detected compromises and can evaluate the effectiveness of the decoys created for security purposes."
Multi-media Insight Tool,"The Multi-media Insight Tool enhances CBP's surveillance capabilities by enabling real-time detection and tracking of anomalies in USBP camera footage. It improves situational awareness and accelerates decision-making through real-time alerts and visual annotations of items of interest, thereby boosting security and operational efficiency."
Position Description Generation and Evaluation,"The project aims to streamline the creation and evaluation of position descriptions (PDs) to enhance accuracy and reduce administrative burdens on both field operations and headquarters. By ensuring that PDs are generated more quickly and verified by Human Resources Specialists, the initiative enables the agency to operate more efficiently with fewer staff."
Source Code Development Tool,The Source Code Development Tool utilizes a generative artificial intelligence coding assistant to help end users develop software more quickly and efficiently. It generates functional software code to streamline the coding process for users.
AI Curated Synthetic Data,"The AI Curated Synthetic Data project aims to address the scarcity of rare event and labeled data for training Automated Threat Recognition (ATR) algorithms. By enhancing existing libraries of true positives and normal scans from CBP Non-Intrusive Inspection (NII) systems, the technology improves detection performance in identifying items of interest. This allows end users to significantly upgrade their existing, deployed algorithms."
Integrated Defense and Security Solutions (IDSS),The Integrated Defense and Security Solutions (IDSS) system enhances the efficiency and accuracy of contraband detection in international express consignment and mail inspection. It provides segmented images that highlight anomalies for further examination by Customs and Border Protection (CBP) personnel.
Advance RPM Maintenance Operating Reporter (ARMOR),"The Advance RPM Maintenance Operating Reporter (ARMOR) project aims to reduce the service, repair, and maintenance time for radiation portal monitors by two weeks, enhancing resource distribution and potentially decreasing costs by 25-50%. Additionally, ARMOR will improve radiological and nuclear security at US borders by minimizing outage times and predicting equipment degradation. The system will categorize malfunctioning RPMs by issue severity and projected failure dates, facilitating the creation of service tickets."
RAPTOR (Rapid Tactical Operations Reconnaissance),"RAPTOR (Rapid Tactical Operations Reconnaissance) enhances domain awareness and intelligence-driven operations for law enforcement and border control. The AI technology streamlines the analysis of stationary camera footage, automating the identification of boat identifiers and transcription of vessel registration data, which allows personnel to respond more efficiently to potential threats."
Vessel Detection,"The Vessel Detection project aims to enhance surveillance technology by implementing machine-assisted classification for identifying and tracking potential illicit vessels among legitimate traffic. This system will support human operators in distinguishing between legitimate and illegitimate vessels, leading to more efficient detection and resolution of Items of Interest (IOIs) during periods of high traffic volume. The outcome will improve overall monitoring effectiveness and increase operational efficiency."
AI for Autonomous Situational Awareness,"The AI for Autonomous Situational Awareness project aims to utilize IoT sensor kits and an AI-enhanced motion image/video system to covertly detect and track illicit cross-border traffic in remote areas. By enabling vehicle detection and direction determination, the system minimizes the burden of camera monitoring on operators, allowing them to focus on other tasks. The detections of items of interest are visually represented with bounding boxes, categorizing them as ""human, animal, or vehicle."""
RVSS Legacy Overhauled System Project,"The RVSS Legacy Overhauled System Project involves the implementation of Video Computer Aided Detection (VCAD), software that allows CBP users to create and share trained computer vision models for recognizing objects, people, and events in video streams. VCAD provides real-time monitoring and efficient searching of recorded video data, enabling users to receive detection reports and alerts for significant events. Additionally, the detection data is accessible through a robust API for integration with CBP applications."
Agent Portable Surveillance,"The Agent Portable Surveillance system is a mobile backpack unit designed for individual agent use, utilizing AI/ML to analyze data from cameras and radar to identify relevant border activities. Upon detection, the system relays information to agents via the Team Awareness Kit (TAK), enhancing operational efficiency and safety for agents and officers. This use case is currently inactive, and further details can be found in the intended purpose and expected benefits."
Open-Source News Aggregation,"The Open-Source News Aggregation platform leverages AI and machine learning to provide rapid intelligence assessments by analyzing diverse open-source data, such as news and social media. It aims to improve decision-making by forecasting emerging global events, thus enhancing threat recognition and predictive intelligence capabilities. This innovative approach transforms traditional monitoring methods, enabling a proactive focus on future geopolitical, social, and economic developments."
Autonomous Aerostat,"The Autonomous Aerostat project incorporates three tethers and advanced weather sensors to allow for autonomous operation during inclement weather. It utilizes AI and machine learning to determine optimal launch and recovery times, eliminating the need for on-site staffing and thereby saving time and manpower. This innovative approach enhances operational efficiency and safety."
Geospatial Imagery Utilizing Annotation,"The project utilizes a constellation of Synthetic Aperture Radar (SAR) satellites to capture geospatial imagery of any location on Earth, regardless of weather conditions or time of day. It employs advanced AI technologies for machine vision, object detection, and change detection to identify airframes, military vehicles, and marine vessels, catering to disaster response missions. However, the current use case is inactive."
Use of technology to identify proof of life,"The project focuses on utilizing technology, specifically mobile applications, for liveness detection to verify the authenticity of users and prevent the submission of spoofed or fraudulent images. Ensuring that users can be confidently identified as who they claim to be is essential for the app's functionality within agency settings. Currently, this use case is inactive, and further details are outlined under its intended purpose and expected benefits."
Integrated Digital Environment,"The Integrated Digital Environment enhances managers' insights into end-user workflows and application usage, identifying areas for optimization. By leveraging AI/ML models on user activity data, it aims to improve system configurations, resource utilization, and application development for the CBP. The environment also facilitates customized analytics and automation, promoting better connectivity, security, and overall management of applications."
Data and Entity Resolution,"The project focuses on entity resolution for multiple independent valid requirements, utilizing machine learning and human input to effectively leverage data attributes for resolution, moving beyond traditional brute force methods. It automates the unification of data sources and resolves entities efficiently at an enterprise level."
Port of Entry Risk Assessments,"CBP employs AI to enhance its risk assessment processes for evaluating trade and travel data in real-time. The AI methods applied to CBP data are continuously evaluated for accuracy and precision, supporting the agency's core mission within a layered risk assessment strategy. However, this specific use case is currently inactive."
Traveler Verification Service (TVS),"The Traveler Verification Service (TVS) offers a biometric system for the Customs and Border Protection (CBP) to track the entry and exit of travelers in the United States. It utilizes facial comparison technology by creating localized photo galleries from various sources, which are then converted into secure templates for identity verification. When travelers arrive or depart, their live images are matched against these templates to facilitate their processing by CBP officers."
I4 Viewer Matroid Image Analysis,"I4 Viewer Matroid Image Analysis is a software platform that allows users to create and share vision detectors for recognizing objects, people, and events in images and video streams. Once trained, these detectors can monitor real-time video or search through recorded data, providing detection information through reports and alerts. The detection data is also accessible through a robust API for integration into various applications."
Autonomous Maritime Awareness,"The Autonomous Maritime Awareness technology enables real-time surveillance of maritime activities in harsh conditions, including low temperatures, ice, and snow. It enhances detection capabilities to identify threats like unauthorized vessels or smuggling, providing real-time notifications, continuous tracking data, and detailed threat assessments for effective enforcement actions."
Advanced Trade Analytics Platform (ATAP),"The Advanced Trade Analytics Platform (ATAP) aims to enhance the efficiency and insight generation in the U.S. Customs and Border Protection's trade operations by utilizing data analytics, machine learning, and AI. It delivers actionable insights through dashboards and visualizations that aid operators in their assessments and decision-making processes."
CBP Employee Experience,"The CBP Employee Experience project aims to analyze and utilize employee experience data from surveys and operational metrics to provide real-time insights into the experiences of USBP recruits, applicants, and employees. These insights are designed to inform HRM leadership on opportunities for process improvement, enabling the achievement of hiring targets and the retention of a qualified workforce."
Passive Body Scanner,"The Passive Body Scanner (PBS) is designed to improve situational awareness for CBP officers during pedestrian traveler processing by identifying areas on a person's body where concealed objects may be present. It uses an algorithm to detect deviations in expected body heat, highlighting these areas on live video for real-time monitoring. This technology aids in the timely detection of potential weapons or contraband, supporting CBP's border search authority."
Unmanned Aircraft Collision Avoidance (Skydio),"The Unmanned Aircraft Collision Avoidance system, developed by Skydio, utilizes video feeds to power its obstacle avoidance capabilities in the Skydio X2D aircraft. It enhances the intake process while ensuring accurate identity verification, and notifies the pilot of potential collisions through visual alerts on the hand controller."
CBP Translate,"CBP Translate is an AI-driven tool designed to improve communication between border officers and non-English speakers by providing real-time translations of spoken and written interactions. It promotes inclusivity by supporting multiple languages, minimizes misunderstandings during critical procedures, and generates logs for review. For formal documentation and law enforcement questioning, it refers to standard translation services for sworn statements and official communications."
Entity Resolution,The project focuses on entity resolution to identify and analyze potential forced labor within supply chains using an analytical AI platform. It aims to enhance detection capabilities for labor exploitation in various supply chain processes.
Supervised Traveler Identity Verification Services (Officer Initiated),"The Supervised Traveler Identity Verification Services is a cloud-based biometric matching system that allows CBP to verify passenger identities via facial recognition. By utilizing DHS's facial matching technologies, it enhances traveler facilitation while decreasing the need for manual identity checks. This service is designed to streamline the identity verification process throughout the travel continuum."
Semi-Supervised Traveler Identity Verification Services (Traveler Initiated),"The Semi-Supervised Traveler Identity Verification Services project involves a cloud-based biometric matching service that allows CBP to verify passengers' identities using facial recognition technology. This service enhances traveler facilitation by providing instant match or no-match responses, thereby reducing the need for manual identity verification processes."
3rd Party Traveler Identity Verification Services,"The TVS Biometric Air Exit solution is a cloud-based service that utilizes facial biometric matching to verify passenger identities for CBP, External Partners, and Other Government Agencies. By leveraging DHS facial matching technologies, it enhances traveler facilitation and minimizes the need for manual identity verification."
Mobile Traveler Identity Verification,The TVS Biometric matching service is a cloud-based solution that enhances the identity verification process for travelers by matching their facial biometric data against trusted sources. This service improves traveler facilitation and reduces the need for manual identity checks by providing clear match or no match responses throughout the travel continuum.
Traveler Identity Verification Services (Vetting),"CBP's Traveler Identity Verification Services (Vetting) employs facial recognition technology to improve threat identification by comparing travelers' biometrics to records of concern. When a potential match is found, CBP personnel perform a manual facial comparison to assess the likelihood of association with the identified record."
Customs Broker License Exam - Proctor Support,"The project focuses on providing proctor support for the Customs Broker License Exam, promoting remote proctoring to maintain the integrity of the testing process. It ensures secure exam conditions, prevents cheating, and confirms the identity of exam candidates while generating integrity reports, compliance feedback, and test results."
ERNIE,"The ERNIE model improves threat detection by prioritizing high-risk targets, which enhances operational efficiency and national security. It provides real-time risk assessments and alerts for potential threats identified by Radiation Portal Monitors, along with prioritized recommendations for further screening based on radiation data analysis."
Autonomous Surveillance Tower (AST),"The Autonomous Surveillance Tower (AST) enhances the U.S. Border Patrol's operational efficiency by enabling a single user to monitor a larger area than traditional surveillance methods. The AI-driven system alerts users to the presence of various objects of interest, such as persons or vehicles, allowing trained agents to assess and classify activities effectively. This technology aims to improve resource allocation and allow agents to focus on more complex tasks."
Automated Item of Interest Detection,"The Automated Item of Interest Detection software analyzes images and video from operational equipment to identify individuals crossing into the U.S. at unauthorized locations or evading capture. It overlays a visual box around suspected human subjects, enabling Border Patrol agents to quickly assess and confirm the presence of people in those images."
CBP One,"CBP One utilizes facial recognition technology to verify identities in real-time by comparing live or uploaded images against CBP's database. This automated system improves border process efficiency, increases accuracy, and minimizes fraud, providing outputs such as identity match confirmations, fraud alerts, and traveler status updates."
Unified Processing/Mobile Intake,"The Unified Processing/Mobile Intake project aims to enhance the biometric identification process for individuals encountered by Customs and Border Protection (CBP), ensuring expedited processing. It utilizes CBP's facial matching technologies to deliver quick match or no match responses."
Cyber Threat Analysis (Recorded Future),"Cyber Threat Analysis from Recorded Future enables rapid retrieval of query results related to adversary tactics, techniques, and procedures, creating comprehensive threat scorecards. It also offers cyber risk evaluations for third-party vendors and organizations, delivering actionable intelligence that supports Security Operations Center (SOC) and Cyber Risk Management (CRM) efforts."
Vault Access Log (SPVAA),"The Vault Access Log (SPVAA) project enhances security by improving monitoring and reducing the risk of unauthorized access to seized property. It utilizes DHS facial matching technologies to deliver either a match or no match response, thereby strengthening security protocols."
HTS Classifier,"The HTS Classifier improves trade compliance and cargo risk assessment by streamlining the classification of goods and enhancing integration with machine learning systems. It accurately categorizes items based on their descriptions and attributes, thereby identifying potential threats and refining risk evaluations. The classifier's outputs, which map cargo descriptions to probable tariff codes, support predictive risk assessments and enhance security while facilitating trade."
CISAChat,CISAChat is a Generative AI solution designed to assist multiple CISA program offices in reviewing pre-production content and internal materials by generating summaries and key themes. This initiative enhances customer experience and saves staff time by automating content analysis through large language model (LLM) responses.
Critical Infrastructure Network Anomaly Detection,"The Critical Infrastructure Network Anomaly Detection project enhances government capabilities by automating the detection of malicious threat actors on critical infrastructure networks. It streamlines data fusion and correlation, enabling CISA analysts to prioritize threat hunting. Additionally, the project offers an interface for querying cybersecurity data and provides dashboards displaying alerts and detected anomalies through predictive models and rule-based heuristics."
Malware Reverse Engineering,"The Malware Reverse Engineering project enhances internal government tools for analyzing malware, thereby accelerating the development of cyber threat intelligence for government and CISA partners. By employing machine learning and other analytical tools, the project automates various aspects of the manual reverse engineering process, allowing analysts to focus on adversary response. This automation ultimately increases efficiency and compels threat actors to invest more resources in creating new malware."
Draft Tailored Summaries of Media Materials for Different Publication Channels,"The project involves using Large Language Models (LLMs) to create tailored summaries of media materials from historical publications and pre-production documents. An interface allows users to upload these documents, after which the system generates messaging using approved templates and tags them for review before publication."
Security Information and Event Management (SIEM) Alerting Models,"The project aims to enhance Security Information and Event Management (SIEM) capabilities for CISA Threat Hunting and SOC analysts by utilizing AI-assisted agents to automate the detection of cyber threats from terabytes of log data. By integrating advanced automated tooling, analysts can efficiently refine alerts and generate complex search queries to identify significant anomalies, allowing for prompt and accurate threat detection. Although the use case is currently inactive, it is designed to support high-fidelity anomaly detection through probabilistic modeling and curated expertise."
Advanced Analytic Enabled Forensic Investigation,"CISA deploys forensic specialists to investigate cyber events across various governmental levels and critical infrastructure partners. Utilizing advanced analytics with AI tools, forensic analysts can efficiently identify anomalies and threats by engaging with AI-assisted agents that help formulate complex search queries. This automated approach enhances the detection of high-fidelity anomalies in a timely manner."
Advanced Network Anomaly Alerting,"The Advanced Network Anomaly Alerting project aims to enhance the capabilities of threat hunting and Security Operations Center analysts by leveraging terabytes of data from the National Cybersecurity Protection System's Einstein sensors. It employs automated tooling alongside probabilistic models to refine detection alerts and identify high-fidelity network anomalies efficiently. Although currently inactive, the project is designed to improve anomaly detection and response times in cybersecurity operations."
Cyber Threat Intelligence Feed Correlation,"The Cyber Threat Intelligence Feed Correlation project employs AI technology to enhance the correlation of various incoming data feeds, resulting in quicker enrichment of shared threat information. It utilizes learning algorithms to optimize efficiency and allows for the development of custom algorithms to maintain continuous monitoring of threat actors' Tactics, Techniques, and Procedures (TTPs). However, this use case is currently inactive."
Cyber Incident Reporting,"The Cyber Incident Reporting project utilizes advanced automation tools, including machine learning and Natural Language Processing, to enhance the processing of data from various cyber threat intelligence channels. These tools improve data accuracy for human analysts, aggregate incident information for reporting, and identify vulnerability trends by correlating them with established frameworks and prior incidents to better understand attackers' techniques. Although currently inactive, the project aims to support critical infrastructure entities in effectively managing cyber incidents."
Cyber Vulnerability Reporting,"The Cyber Vulnerability Reporting project focuses on providing vulnerability analysts with advanced automation tools that utilize machine learning and natural language processing to enhance the accuracy and relevance of data from various reporting channels. These tools facilitate the aggregation and automated sharing of information, allowing for improved analysis and decision-making regarding known exploits and vulnerabilities. However, it is noted that this use case is currently inactive."
AI Security and Robustness,"The AI Security and Robustness project focuses on creating frameworks, processes, and testing tools to manage the lifecycle of AI technologies within federal enterprises, particularly at CISA. It leverages AI-enhanced tools utilizing machine learning and natural language processing to improve the evaluation and reliability of AI systems, ensuring their secure and robust operations. This use case is currently inactive and further details can be found in the intended purpose and expected benefits section."
Operational Activities Explorer,"The Operational Activities Explorer project aimed to integrate an AI tool into a dashboard for analyzing cyber and physical incidents affecting critical infrastructure. However, CISA chose not to proceed with the project due to challenges related to event data nuances and limited resources. Consequently, this use case is currently inactive."
Security Operation Center (SOC) Network Anomaly Detection,"The Security Operation Center (SOC) Network Anomaly Detection project enhances internal government tools for identifying malicious threat actors on federal civilian networks. By automating data fusion and correlation, it enables CISA analysts to concentrate on adversary hunting, while providing an interface for querying cybersecurity data and dashboards that display potential alerts and detected anomalies."
Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data,"The Automated Detection of Personally Identifiable Information (PII) in Cybersecurity Data project employs analytics to identify potential PII in submissions and routes flagged cases to CISA analysts for review. AI assists the analysts in confirming or rejecting detections, while privacy experts oversee the system's performance and provide feedback for continuous improvement. Regular audits maintain the system's trustworthiness and compliance with privacy regulations, ultimately enhancing its efficiency by minimizing false positives."
Confidence Scoring for Cybersecurity Threat Indicators,"The project involves generating confidence scores for cybersecurity threat indicators using an AI-driven decision tree process. These scores help CISA's Automated Indicator Sharing (AIS) partners contextualize the threat information, enabling them to effectively integrate the data into their systems. The confidence scores are included alongside other fields in the indicator data set."
Report Analysis and Archive System (RAAS),"The Report Analysis and Archive System (RAAS) helps users find relevant documents and specific information within a Test and Evaluation document archive by allowing them to ask natural language questions. It provides detailed responses, context summaries for better indexing, and facilitates further inquiries to refine the information retrieved. The system aims to enhance user experience by summarizing content based on the user's interests and questions."
RelativityOne,"RelativityOne is a document review platform designed to streamline large-scale document review for litigation, FOIA, and other contexts. It is actively employed by multiple components and offices within the Department of Homeland Security (DHS). The platform features a Review Center that enhances the review process by predicting document categorization based on user inputs."
Commercial Generative AI for Text Generation (AI Chatbot),"DHS employees are authorized to utilize commercially available generative AI tools for text generation, often referred to as AI Chatbots. These tools leverage Natural Language Processing and Large Language Models to produce coherent written content for various applications, including drafting documents, conducting research, and preparing briefing materials. Outputs from these tools may include written content, answers to queries, and search results based on user inputs."
Commercial Generative AI for Image Generation,"DHS employees can utilize commercially available generative AI tools for image generation in their daily tasks. These tools leverage Natural Language Processing and Machine Learning techniques like Generative Adversarial Networks and Diffusion Models to create diverse graphical content based on user-submitted text prompts. The generated images can vary in style and type, reflecting the user's input."
Commercial Generative AI for Code Generation,DHS employees can utilize commercially available generative AI tools for code generation in their daily tasks. These tools leverage Natural Language Processing (NLP) and Large Language Models (LLM) to generate functional code in various programming languages based on user prompts. The output varies according to the specific inputs provided by the user.
OCFO Code Assist GPT,"Code Assist GPT is an internal GenaAI tool designed to enhance the FEMA workforce by facilitating the generation and troubleshooting of queries across various established programming languages. By providing improved queries and enabling rapid iterations, the tool significantly reduces the time required for query development by 80-90%. It also allows users to continue refining their queries in real-time while ensuring that all session data is not stored after the session ends, maintaining user privacy."
Geospatial Damage Assessments,"The Geospatial Damage Assessments project integrates automated imagery-based tools into RGO processes to assist FEMA geospatial analysts in quickly identifying and characterizing building damage. AI models generate recommendations such as points or polygons indicating likely areas of damage or debris, enabling prioritized analysis and efficient response in large-scale incidents. This automation reduces the time needed for traditional damage assessments, streamlining rapid response and recovery efforts."
Hazard Mitigation Assistance Chatbot,"The Hazard Mitigation Assistance Chatbot is an AI-powered tool designed to improve efficiency, consistency, and decision-making for FEMA staff by providing quick access to accurate information and resources related to HMA policies and procedures. It aims to accelerate the onboarding of new hires, ensure compliance with guidelines, and support FEMA's mission by streamlining workflows and enhancing service delivery. The chatbot offers clear explanations of eligibility, funding priorities, and application processes, while also compiling and analyzing publicly available HMA data to produce insightful reports with visualizations."
Planning Assistant for Resilient Communities (PARC),"The Planning Assistant for Resilient Communities (PARC) aims to streamline the development of Hazard Mitigation Plans for State, Local, Tribal, and Territorial governments by generating customizable draft elements and offering guidance on regulatory compliance. Utilizing the Beta Release GenAI Plan Generator and PARC Assistant, the project enhances planners' efficiency by providing detailed responses and assistance throughout the plan creation process. This support ultimately empowers more communities to engage with stakeholders, apply for funding, and improve their resilience against disasters."
Recovery and Resilience Resource (RRR) Portal,"The Recovery and Resilience Resource (RRR) Portal aims to enhance access and navigation of federal resources for state, local, tribal, and territorial (SLTT) partners through an AI-driven smart matching wizard. This AI layer, which is currently unfunded, will utilize a large language model to analyze user behavior and connect SLTT partners with relevant resources from a vast database, benefiting various stakeholders involved in community recovery and resilience efforts. The initiative supports nearly 80,000 local governments and over 25 federal agencies, promoting equity in access to disaster recovery resources and best practices."
Digital Processing Procedure Manual (D-PPM),"The Digital Processing Procedure Manual (D-PPM) project leverages AI to enhance the efficiency of agents responding to survivor inquiries by streamlining the search process through dynamic information retrieval from extensive policy documents. This innovative approach is expected to drastically reduce response times, improve answer accuracy, and enable agents to manage more complex cases, ultimately leading to cost savings and increased survivor satisfaction. The AI will provide real-time, relevant search results, allowing agents to access the necessary information quickly without making final decisions."
FEMA OCFO GPT,"FEMA OCFO GPT is an internal GenAI tool designed to support FEMA's workforce by generating initial responses to record-related questions, significantly reducing the time analysts spend on data gathering. By leveraging both public and internal documents, the tool produces draft responses that can be refined prior to formal submission, cutting initial research effort by 80%. It enhances efficiency without replacing the roles of analysts or Agency leadership in the review process."
OCFO Response Augmentation Suite,"The OCFO Response Augmentation Suite includes three internal facing GenAI tools: FEMA OCFO GPT, Travel Policy GPT, and Fiscal Policy GPT. These tools enhance the FEMA workforce's efficiency by generating preliminary responses to inquiries related to organizational policies and issues, significantly reducing the time analysts spend on data gathering and initial responses by up to 90%. They are designed to support the formal response process without replacing the necessary review and oversight by agency leadership and analysts."
Incident Management Workforce Deployment Model (depmod),"The Incident Management Workforce Deployment Model (depmod) analyzes big data to identify patterns and simulate real-world processes, generating predictions based on these insights. It produces relatable, mission-centric metrics that can be summarized as actionable recommendations for effective incident management."
Individual Assistance (IA) & Public Assistance (PA) Projections,"The Individual Assistance (IA) and Public Assistance (PA) supervised learning models are designed to generate predictions for various quantities of interest relevant to disaster response and recovery. These models aim to enhance decision-making by providing timely, reliable predictions and quantifying uncertainty, which can inform resource allocation and funding considerations. The outputs will be disseminated internally via business intelligence tools, ensuring that key personnel have access to essential data-driven insights for operational planning."
Voice Analytics for Investigative Data,"Homeland Security Investigations (HSI) has developed Voice Analytics to efficiently process large volumes of live and recorded audio content encountered during investigations. By utilizing machine learning and advanced speech processing, this technology enables multilingual speech transcription and translation, enhancing the ability to identify leads and analyze data against law enforcement datasets. The system significantly improves the efficiency and effectiveness of investigations compared to traditional manual processes."
Semantic Search and Summarization for Investigative Reports,"The Semantic Search and Summarization project focuses on enhancing the analysis of large volumes of unstructured investigative reports by employing advanced methods for extracting and summarizing contextually relevant information. This approach surpasses traditional lexical search techniques, facilitating faster identification of persons of interest, revealing trends, and improving network or fraud detection. Overall, it aims to optimize investigative processes and outcomes."
